"id","date","confirmed","deaths","recovered","tests","vaccines","people_vaccinated","people_fully_vaccinated","hosp","icu","vent","school_closing","workplace_closing","cancel_events","gatherings_restrictions","transport_closing","stay_home_restrictions","internal_movement_restrictions","international_movement_restrictions","information_campaigns","testing_policy","contact_tracing","facial_coverings","vaccination_policy","elderly_people_protection","government_response_index","stringency_index","containment_health_index","economic_support_index","administrative_area_level","administrative_area_level_1","administrative_area_level_2","administrative_area_level_3","latitude","longitude","population","iso_alpha_3","iso_alpha_2","iso_numeric","iso_currency","key_local","key_google_mobility","key_apple_mobility","key_jhu_csse","key_nuts","key_gadm"
"59a13ceb",2022-01-15,65477079,850099,NA,763008938,537694765,248388233,212569331,149500,25802,NA,-2,-2,-2,-4,-1,-1,-1,4,2,3,1,-3,5,-2,55.73,58.8,63.69,0,1,"United States",NA,NA,38,-97,326687501,"USA","US",840,"USD",NA,"ChIJCzYy5IS16lQRQrfeQ5K5Oxw","United States","US",NA,"USA"
"59a13ceb",2022-01-16,65814886,850509,NA,764383763,538087693,248493677,212627750,149995,25867,NA,-2,-2,-2,-4,-1,-1,-1,4,2,3,1,-3,5,-2,55.73,58.8,63.69,0,1,"United States",NA,NA,38,-97,326687501,"USA","US",840,"USD",NA,"ChIJCzYy5IS16lQRQrfeQ5K5Oxw","United States","US",NA,"USA"
"59a13ceb",2022-01-17,66526937,851283,NA,766120810,538917912,248707554,212769525,150895,26077,NA,-2,-2,-2,-4,-1,-1,-1,4,2,3,1,-3,5,-2,55.73,58.8,63.69,0,1,"United States",NA,NA,38,-97,326687501,"USA","US",840,"USD",NA,"ChIJCzYy5IS16lQRQrfeQ5K5Oxw","United States","US",NA,"USA"
"59a13ceb",2022-01-18,67705340,854268,NA,768716075,539923772,248959773,212960475,153220,26372,NA,-2,-2,-2,-4,-1,-1,-1,4,2,3,1,-3,5,-2,55.73,58.8,63.69,0,1,"United States",NA,NA,38,-97,326687501,"USA","US",840,"USD",NA,"ChIJCzYy5IS16lQRQrfeQ5K5Oxw","United States","US",NA,"USA"
"59a13ceb",2022-01-19,68557295,857644,NA,771675297,540909902,249207780,213149517,154497,26458,NA,-2,-2,-2,-4,-1,-1,-1,4,2,3,1,-3,5,-2,55.73,58.8,63.69,0,1,"United States",NA,NA,38,-97,326687501,"USA","US",840,"USD",NA,"ChIJCzYy5IS16lQRQrfeQ5K5Oxw","United States","US",NA,"USA"
"59a13ceb",2022-01-20,69305615,860316,NA,774469819,541853302,249445733,213328517,152923,26283,NA,-2,-2,-2,-4,-1,-1,-1,4,2,3,1,-3,5,-2,55.73,58.8,63.69,0,1,"United States",NA,NA,38,-97,326687501,"USA","US",840,"USD",NA,"ChIJCzYy5IS16lQRQrfeQ5K5Oxw","United States","US",NA,"USA"
"59a13ceb",2022-01-21,70130930,864182,NA,776947828,542943649,249720720,213492708,150229,26023,NA,-2,-2,-2,-4,-1,-1,-1,4,2,3,1,-3,5,-2,55.73,58.8,63.69,0,1,"United States",NA,NA,38,-97,326687501,"USA","US",840,"USD",NA,"ChIJCzYy5IS16lQRQrfeQ5K5Oxw","United States","US",NA,"USA"
"59a13ceb",2022-01-22,70468314,865116,NA,778696701,543568405,249891775,213576869,145688,25679,NA,-2,-2,-2,-4,-1,-1,-1,4,2,3,1,-3,5,-2,55.73,58.8,63.69,0,1,"United States",NA,NA,38,-97,326687501,"USA","US",840,"USD",NA,"ChIJCzYy5IS16lQRQrfeQ5K5Oxw","United States","US",NA,"USA"
"59a13ceb",2022-01-23,70667795,865687,NA,779841938,543901939,249982559,213641706,144777,25528,NA,-2,-2,-2,-4,-1,-1,-1,4,2,3,1,-3,5,-2,55.73,58.8,63.69,0,1,"United States",NA,NA,38,-97,326687501,"USA","US",840,"USD",NA,"ChIJCzYy5IS16lQRQrfeQ5K5Oxw","United States","US",NA,"USA"
"59a13ceb",2022-01-24,71699954,867866,NA,781403998,544704118,250184963,213803772,144760,25562,NA,-2,-2,-2,-4,-1,-1,-1,4,2,3,1,-3,5,-2,55.73,58.8,63.69,0,1,"United States",NA,NA,38,-97,326687501,"USA","US",840,"USD",NA,"ChIJCzYy5IS16lQRQrfeQ5K5Oxw","United States","US",NA,"USA"
